ethereum 	Yay, more state channel stuff!https://medium.com/@graycoding/lessons-learned-from-making-a-chess-game-for-ethereum-6917c01178b6#.w7cj8iwg0 …	VitalikButerin	90	43	1472881801	771948343698268160	https://twitter.com/VitalikButerin/status/771948343698268160		#	@graycoding
	Alexa ordered something on her own last week picking up a message from the TV. Glad Amazon verifies purchases.	JimMarous	1	0	1472910622	772069223984017408	https://twitter.com/JimMarous/status/772069223984017408			
	"""Next Generation Digital Financial Services Will Drive Internet Use in Africa"" http://ln.is/lnkd.in/0a07t  by @ Graham_Tonkin # fintech"	JimMarous	6	18	1472910298	772067866409664512	https://twitter.com/JimMarous/status/772067866409664512		#	@
	wrong reason, but yes.	VinnyLingham	2	0	1472935520	772173654436163584	https://twitter.com/VinnyLingham/status/772173654436163584			
	short squeezes will be more profound now	VinnyLingham	5	2	1472935009	772171512988053505	https://twitter.com/VinnyLingham/status/772171512988053505			
	and it doesn't look like the fed will raise rates either...but what do I know	VinnyLingham	2	0	1472934818	772170709522984960	https://twitter.com/VinnyLingham/status/772170709522984960			
	even more reason. Can't wait for perfect conditions	VinnyLingham	1	0	1472933203	772163937135583232	https://twitter.com/VinnyLingham/status/772163937135583232			
	I think the fed will be remiss if they don't raise rates this month.	VinnyLingham	4	1	1472931739	772157796104015872	https://twitter.com/VinnyLingham/status/772157796104015872			
bitcoin 	And now, the next big Bitcoin surge begins...Bitcoin has been boring for long enough...	VinnyLingham	122	56	1472930969	772154569082097664	https://twitter.com/VinnyLingham/status/772154569082097664			
	Watch this space :-) US first, yes, but expansion planned	VinnyLingham	1	0	1472914252	772084452759523328	https://twitter.com/VinnyLingham/status/772084452759523328			
	Will do!	SatoshiLite	1	0	1472929605	772148848336658433	https://twitter.com/SatoshiLite/status/772148848336658433			
bitcoin litecoin 	@ImpossibleBTC @ bitcoinkeepkey @ ShapeShift_io @ telegram Yeah, working on porting over Bitcore right now: https://github.com/litecoin-project/litecore … Core next.	SatoshiLite	9	7	1472878940	771936344151130116	https://twitter.com/SatoshiLite/status/771936344151130116			@ImpossibleBTC @ @ @
bitcoin 	Got my @ bitcoinkeepkey. Instantly converting BTC in a HW wallet to LTC. What kind of @ ShapeShift_io sorcery is this!pic.twitter.com/xxLLlRpZvI	SatoshiLite	97	45	1472874417	771917371049148416	https://twitter.com/SatoshiLite/status/771917371049148416			@ @
	And yes, we've experimented with fluid relationships. So??pic.twitter.com/AykSEEutqg	officialmcafee	63	14	1472939082	772188597919346688	https://twitter.com/officialmcafee/status/772188597919346688			
	Brunhilde. https://twitter.com/SamCosenza/status/772184982693437441 …	officialmcafee	15	2	1472938394	772185711328059392	https://twitter.com/officialmcafee/status/772185711328059392			
	Enough about the sheep already. As you can see, she is not with me against her will.pic.twitter.com/wcH416rEcZ	officialmcafee	111	25	1472938001	772184060252811265	https://twitter.com/officialmcafee/status/772184060252811265			
	I cannot talk about my relationship with the sheep. But when company comes I make her stand in the corner.https://twitter.com/JoshLeCash/status/772156946723934208 …	officialmcafee	54	15	1472935901	772175254743609344	https://twitter.com/officialmcafee/status/772175254743609344			
	No. We have a pay as you go arrangement. https://twitter.com/johnloeber/status/772141285134200833 …	officialmcafee	15	6	1472928054	772142339469041664	https://twitter.com/officialmcafee/status/772142339469041664			
	I never laid hands on her.https://twitter.com/_fernet_/status/772140729544028161 …	officialmcafee	20	9	1472927949	772141900157575168	https://twitter.com/officialmcafee/status/772141900157575168			
	It was consensual. I swear. https://twitter.com/ihazcandy/status/772140578943283200 …	officialmcafee	21	4	1472927880	772141609286770688	https://twitter.com/officialmcafee/status/772141609286770688			
	I don't know what you're talking about.https://twitter.com/fideljetsfan/status/772139079127490560 …	officialmcafee	15	2	1472927532	772140152806342657	https://twitter.com/officialmcafee/status/772140152806342657			
	Janice's first board meeting for her new startup. It's a secret for now;)pic.twitter.com/PUeYJ924QV	officialmcafee	67	15	1472926833	772137221524717568	https://twitter.com/officialmcafee/status/772137221524717568			
	Banana Republic Survival Guide For Dummies.http://loggiaonfire.com/2016/09/02/1030/ …	officialmcafee	27	16	1472865045	771878060748570624	https://twitter.com/officialmcafee/status/771878060748570624			
bitcoin 	Odd things like this are materializing at our Bitcoin mining center. Anyone have any ideas? Aliens?pic.twitter.com/AVYNr48I74	officialmcafee	141	39	1472855888	771839655197155328	https://twitter.com/officialmcafee/status/771839655197155328			
	"Being a moral human being means doing the right thing even when ""authority"" tells you not to.https://www.youtube.com/watch?v=0k4pXwmis7A …"	rogerkver	59	35	1472918976	772104263258353664	https://twitter.com/rogerkver/status/772104263258353664			
	@ fintechna @ leimer @ obussmann @ SpirosMargaris @ cgledhill @ WFSULLIVAN3 @ FintechTopNews @ fintech_weekly it's both	BrettKing	2	2	1472914274	772084544467968000	https://twitter.com/BrettKing/status/772084544467968000			@ @ @ @ @ @ @ @
	Hey @ garyvee - we're keeping each other company here in Bangkokpic.twitter.com/SjYgfWNq0f	BrettKing	12	3	1472907874	772057700972670976	https://twitter.com/BrettKing/status/772057700972670976			@
	Spotted in downtown BKK @Kinokuniya Book Store At Emquartier https://www.instagram.com/p/BJ5Q7UmjivU/	BrettKing	0	0	1472907806	772057413071568896	https://twitter.com/BrettKing/status/772057413071568896			@Kinokuniya
	My COO at Moven shares some thoughts on the diffusion of innovationhttps://lnkd.in/dcWZGdn	BrettKing	16	17	1472869087	771895017631801344	https://twitter.com/BrettKing/status/771895017631801344			
	kind of the point. Lo-doc or digital acquisition is a massive differentiator in lending	BrettKing	1	1	1472866125	771882590559047680	https://twitter.com/BrettKing/status/771882590559047680			
	enjoy!	BrettKing	0	0	1472866074	771882377572339712	https://twitter.com/BrettKing/status/771882377572339712			
	love BKK	BrettKing	1	0	1472866017	771882139222552576	https://twitter.com/BrettKing/status/771882139222552576			
	. @ libertyepodcast @ ShapeShift_io Ask and ye shall receive: ShapeShift wordpress integration https://info.shapeshift.io/blog/tags/wordpress-woocommerce …	ErikVoorhees	10	6	1472938353	772185539462127617	https://twitter.com/ErikVoorhees/status/772185539462127617			@ @
	Expecto patronum!https://twitter.com/SatoshiLite/status/771917371049148416 …	ErikVoorhees	18	6	1472881880	771948675211952128	https://twitter.com/ErikVoorhees/status/771948675211952128			
	Feels like we hit peak 'blockchain' some time earlier this year https://www.bloomberg.com/view/articles/2016-09-01/maybe-blockchain-really-does-have-magical-powers … # GartnerHypeCycle	brian_armstrong	15	8	1472857896	771848076042637313	https://twitter.com/brian_armstrong/status/771848076042637313		#	
	today:i agree. Tomorrow: we'll see	TuurDemeester	1	0	1472927510	772140058992259072	https://twitter.com/TuurDemeester/status/772140058992259072			
	what do you mean list?	TuurDemeester	0	0	1472925754	772132694549422084	https://twitter.com/TuurDemeester/status/772132694549422084			
	here's the link: http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2248419 …	TuurDemeester	0	0	1472925693	772132437451169793	https://twitter.com/TuurDemeester/status/772132437451169793			
bitcoin 	"google ""paper"" ""speculative attack"" ""imf"" ""bitcoin"". There's a reasonable for it. Also see cb of Barbados."	TuurDemeester	0	0	1472924464	772127285512056832	https://twitter.com/TuurDemeester/status/772127285512056832			
	Could be sooner...	TuurDemeester	0	0	1472924315	772126657666617344	https://twitter.com/TuurDemeester/status/772126657666617344			
bitcoin 	yes that's certainly possible. Like gold banks, who were often fractional reserve. In bitcoin auditing is easier though.	TuurDemeester	1	0	1472915264	772088695302127616	https://twitter.com/TuurDemeester/status/772088695302127616			
	I think we'll see the first examples in the next 5 years	TuurDemeester	2	0	1472914654	772086137552678912	https://twitter.com/TuurDemeester/status/772086137552678912			
	for sure. Central Bank of Barbados already discussed this idea in a recent paper.	TuurDemeester	1	0	1472913760	772082389610745856	https://twitter.com/TuurDemeester/status/772082389610745856			
	Don't know the company nor the team behind it.	TuurDemeester	2	0	1472908458	772060151662546944	https://twitter.com/TuurDemeester/status/772060151662546944			
	congrats!	TuurDemeester	0	0	1472904616	772044033099075584	https://twitter.com/TuurDemeester/status/772044033099075584			
	what's the story with XRP's cap?	TuurDemeester	0	0	1472903296	772038500581412864	https://twitter.com/TuurDemeester/status/772038500581412864			
	not sure if I understand your question...	TuurDemeester	1	0	1472899875	772024151531937792	https://twitter.com/TuurDemeester/status/772024151531937792			
	yeah, I'm familiar with shadow stats	TuurDemeester	1	0	1472899722	772023508201271296	https://twitter.com/TuurDemeester/status/772023508201271296			
	Another way to look at the numberspic.twitter.com/CH4SUfxERc	TuurDemeester	10	4	1472860426	771858688025866240	https://twitter.com/TuurDemeester/status/771858688025866240			
	employment does not equate to sustainable productivity growth. It's know to be low during periods of credit expansion.	TuurDemeester	1	0	1472860090	771857280115412992	https://twitter.com/TuurDemeester/status/771857280115412992			
	yes. 51% attack would require continual expense	TuurDemeester	2	0	1472859203	771853557263851520	https://twitter.com/TuurDemeester/status/771853557263851520			
	no, it'd cost about $800M to build the currently existing mining infrastructure from scratch.	TuurDemeester	0	0	1472858718	771851523294801920	https://twitter.com/TuurDemeester/status/771851523294801920			
	Makes sense. Patterns repeat but wishful thinking can distort analysis. I'm very bullish tho.	TuurDemeester	1	0	1472858109	771848969940983808	https://twitter.com/TuurDemeester/status/771848969940983808			
	"what's your definition of ""real economist""?"	TuurDemeester	0	0	1472856186	771840906869649409	https://twitter.com/TuurDemeester/status/771840906869649409			
	you could replace the pool with hiring two janitors	TuurDemeester	0	0	1472855679	771838777568272384	https://twitter.com/TuurDemeester/status/771838777568272384			
	Corporation tax dead-end - http://www.cityam.com/248453/eus-dangerous-quest-tax-harmonisation-ignores-corporation … & http://www.gresham.ac.uk/lectures-and-events/corporation-tax-or-income-tax-which-is-the-greatest-con … @ CityAM @ the_tpa @ TaxPolicyCenterpic.twitter.com/iNEwpJSx7z	mrmainelli	1	1	1472903894	772041007571566592	https://twitter.com/mrmainelli/status/772041007571566592			@ @ @
	Not overnight but will=fast as moslems who attack everyday will have control @MarieA51494842 @ SteersMann @ Juskimlinhttps://twitter.com/mariea51494842/status/772189619232333825 … – bei The White House	NetworksManager	8	1	1472939458	772190174650531842	https://twitter.com/NetworksManager/status/772190174650531842			@MarieA51494842 @ @
	Only reason u able to speak freely on Internet is America has # 2a & we control # ICANN. # MAGA @ SteersMann @ Juskimlinhttps://twitter.com/steersmann/status/772186265890410497 … – bei The White House	NetworksManager	11	7	1472939017	772188324597493760	https://twitter.com/NetworksManager/status/772188324597493760		# # #	@ @
	Bad idea why # Obama giving # ICANN to # UN/ # IANA?Because he & Clinton want islamic takeover they'll kill us. @ Nellusionhttps://twitter.com/nellusion/status/772184021254213632 … – bei The White House	NetworksManager	17	21	1472938800	772187414047690752	https://twitter.com/NetworksManager/status/772187414047690752		# # # #	@
	oops # 1a*	NetworksManager	1	0	1472938386	772185675319930880	https://twitter.com/NetworksManager/status/772185675319930880		#	
	That only beginning after USA's voice is censored overseas they will censor it here as well. @ SteersMann @ Juskimlinhttps://twitter.com/networksmanager/status/772184403808292864 … – bei The White House	NetworksManager	11	16	1472938265	772185169486835712	https://twitter.com/NetworksManager/status/772185169486835712			@ @
	# IANA will use # ICANN to silence USA's # 2a banning our sites in other countries. # MAGA # DC @ SteersMann @ Juskimlinhttps://twitter.com/networksmanager/status/772183446487793664 … – bei The White House	NetworksManager	13	22	1472938083	772184403808292864	https://twitter.com/NetworksManager/status/772184403808292864		# # # # #	@ @
	No dipshit @ SteersMann free speech exist nowhere else ICANN managed elsewhere=voices will be censored. @ Juskimlinhttps://twitter.com/steersmann/status/772180033137881089 … – bei The White House	NetworksManager	6	7	1472937854	772183446487793664	https://twitter.com/NetworksManager/status/772183446487793664			@ @
	Same thing dipshit. @ indyref1 @WD_Lady @ PriyaGrewal1https://twitter.com/indyref1/status/772180098128764930 … – bei The White House	NetworksManager	9	3	1472937488	772181908511916032	https://twitter.com/NetworksManager/status/772181908511916032			@ @WD_Lady @
	If # ICANN given> # IANA= # UN our voice will be silenced & our influence dramatically reduced. @ Derigitable @ Juskimlinhttps://twitter.com/networksmanager/status/772179867718811648 … – bei The White House	NetworksManager	23	28	1472937252	772180918647787520	https://twitter.com/NetworksManager/status/772180918647787520		# # #	@ @
	Don't kid yourself if Obama gives away # ICANN the ENTIRE REST OF THE WORLD GOES DARK. # censor @ Derigitable @ Juskimlin https://twitter.com/derigitable/status/772178989020512257 … – bei The White House	NetworksManager	35	43	1472937001	772179867718811648	https://twitter.com/NetworksManager/status/772179867718811648		# #	@ @
	Folks have no idea giving # ICANN to multi-nationals # IANA who take orders from radicals=END FREE SPEECH. @ Juskimlinhttps://twitter.com/juskimlin/status/772101434754170884 … – bei The White House	NetworksManager	47	72	1472936849	772179228410449920	https://twitter.com/NetworksManager/status/772179228410449920		# #	@
	Trues, in islam there only radicals & enablers of radicals and they both wish for islamic domination. @ Steve_Jacbosonhttps://twitter.com/Steve_Jacboson/status/772141179810951168 …	NetworksManager	13	18	1472933499	772165177210966020	https://twitter.com/NetworksManager/status/772165177210966020			@
	Read again let it sink in the moslems in NAZI fashion systematically wiped out an entire strand of human genetics.https://twitter.com/networksmanager/status/772135013366263808 … – bei The White House	NetworksManager	32	50	1472927343	772139358346444802	https://twitter.com/NetworksManager/status/772139358346444802			
	# Obama, Clinton & MILLION DOLLAR internet troll team LYING about # ICANN giveaway THIS WILL END FREE SPEECH! @WD_Lady https://twitter.com/WD_Lady/status/772136071228485633 …	NetworksManager	90	125	1472926734	772136803306536960	https://twitter.com/NetworksManager/status/772136803306536960		# #	@WD_Lady
	He saw my # MAGA hat & said # LatinosForTrump! Told me he telling everyone he knows CHOOSE LIFE # BanIslam & VOTE TRUMPhttps://twitter.com/NetworksManager/status/772135013366263808 …	NetworksManager	37	42	1472926409	772135443571826693	https://twitter.com/NetworksManager/status/772135443571826693		# # #	
	Spoke w/ 18 yr old Latino/Palestinian-Christian said his WHOLE Christian tribe WIPED OUT from moslems their last name doesn't exist anymore	NetworksManager	46	108	1472926307	772135013366263808	https://twitter.com/NetworksManager/status/772135013366263808			
	LOOK folks that are able to escape islam & stay alive tell the truth moderates & radicals working together. # MAGA # DChttps://amp.twimg.com/v/9d56932b-139c-4dc6-a620-6b400ad2414e …	NetworksManager	285	393	1472922059	772117194624860160	https://twitter.com/NetworksManager/status/772117194624860160		# #	
	France promises to shut down moslem & crime infested Calais Jungle. Of course they've this for a while. # Frexit # MAGAhttp://www.telegraph.co.uk/news/2016/09/02/calais-jungle-to-be-torn-down-by-the-end-of-the-year-french-gove/ …	NetworksManager	24	26	1472918459	772102096602664960	https://twitter.com/NetworksManager/status/772102096602664960		# #	
	# ICANN= our national treasure giving it to folks who religion & culture don't support # 1a will # censor entire world. https://twitter.com/networksmanager/status/771943554847473664 … – bei The White House	NetworksManager	25	38	1472916667	772094580422500353	https://twitter.com/NetworksManager/status/772094580422500353		# # #	
	Le Pen to Make France GREat Again vows hold referendum to get out of # EU if elected. # Frexit # TrumpPence16 # MrBrexithttp://uk.reuters.com/article/uk-france-lepen-referendum-idUKKCN1190HK …	NetworksManager	29	37	1472914859	772086996529508352	https://twitter.com/NetworksManager/status/772086996529508352		# # # #	
	Shalga Hightower's beautiful daughter would still be here today if we deported illegal aliens while MSM silent. # MAGAhttps://twitter.com/NetworksManager/status/772071644806385664 …	NetworksManager	7	13	1472912156	772075661460725760	https://twitter.com/NetworksManager/status/772075661460725760		#	
	# Obama go to mosque, Hillary Clinton givescitizenship to illegals, Trump meets Shalga Hightower mom of NJ girl killed by illegal alien. # MAGA	NetworksManager	54	46	1472911199	772071644806385664	https://twitter.com/NetworksManager/status/772071644806385664		# #	
	Exactly @ SteersMann & nobody would advocate giving ultimate authority over what websites violate # FreeSpeech to themhttps://twitter.com/steersmann/status/771982124870209536 … – bei The White House	NetworksManager	11	15	1472910196	772067439936991233	https://twitter.com/NetworksManager/status/772067439936991233		#	@
	If if if tweet sound funny provacative okie-dokie bing bing boom # obama shut down # FreeSpeech give # ICANN to moslems https://twitter.com/aaronsrgenus/status/771437723496255488/video/1 …	NetworksManager	247	270	1472909399	772064098028810240	https://twitter.com/NetworksManager/status/772064098028810240		# # #	
	France finally deporting moslems RETURN TO SENDER after foiling large-scale terror attack plot # TrumpPence16 # Frexithttp://www.express.co.uk/news/world/706727/France-kicks-out-two-ISIS-fanatics-foiling-attack …	NetworksManager	28	42	1472907659	772056799046430720	https://twitter.com/NetworksManager/status/772056799046430720		# #	
	Coming to # USA moslems in Germany riot in two asylum centers we turning The West into an islamic 3rd world sh*tholehttp://www.express.co.uk/news/world/706761/Mass-brawls-hit-TWO-asylum-centres-as-police-are-beaten-with-chairs-by-migrants …	NetworksManager	43	83	1472900399	772026346067361792	https://twitter.com/NetworksManager/status/772026346067361792		#	
	Folks need realize islam totally opposite from Christianity it leader MARRIED 6 YR OLD GIRL & they think that's ok.http://www.express.co.uk/news/world/706795/Immigration-migrants-violence-women-punishment-Germany …	NetworksManager	47	99	1472896799	772011249118941184	https://twitter.com/NetworksManager/status/772011249118941184			
	Traitor-N-Chief islam supreme leader # Obama wants desperately give away # ICANN that says everything you need to know https://twitter.com/wigitgetit/status/740632841172586496/video/1 …	NetworksManager	1420	2444	1472893259	771996399831482368	https://twitter.com/NetworksManager/status/771996399831482368		# #	
	Elise Gerich=new VP at IANA she is only executive I found so far & We The People can't vote or fire her. # ICANN # MAGApic.twitter.com/JEwjlWULYG	NetworksManager	28	70	1472889660	771981303822647296	https://twitter.com/NetworksManager/status/771981303822647296		# #	
	Here=staff # ICANN site not # IANA but folks like this will decide what speech is banned https://www.icann.org/community/explore?profile_search[badge_filters][]=staff_badge …	NetworksManager	8	24	1472887860	771973753228169216	https://twitter.com/NetworksManager/status/771973753228169216		# #	
	Have no recourse, control, we don't vote for IANA leaders & they aren't even listed>> https://www.iana.org # ICANNpic.twitter.com/GE4oFjgcay	NetworksManager	12	30	1472886060	771966205171208193	https://twitter.com/NetworksManager/status/771966205171208193		#	
	Sept 30th # Obama will hand over the internet to muslims who will have untimate decision what site/content is allowed or banned. # MAGA # ICANN	NetworksManager	45	95	1472884259	771958652509061120	https://twitter.com/NetworksManager/status/771958652509061120		# # #	
	Folks like myself & other patriots will be banned b/c # ICANN & # IANA will enforce foreign freedom of speech laws our # 1a won't apply. # MAGA	NetworksManager	38	46	1472882399	771950851594280961	https://twitter.com/NetworksManager/status/771950851594280961		# # # #	
	By your won account you've been on this project for 2 years. You have been feeding us BS for 24 hrshttps://twitter.com/Just_this_time/status/771941435063042048 …	NetworksManager	0	0	1472881117	771945474207211520	https://twitter.com/NetworksManager/status/771945474207211520			
	By # IANA spokesperson account muslims, communist, UN & other countries will control what speech is allowed worldwide https://twitter.com/NetworksManager/status/771760028806180864 …	NetworksManager	13	32	1472878859	771936002269179905	https://twitter.com/NetworksManager/status/771936002269179905		#	
	# Obama & his islamic admin have their trolls spreading lies a/b # ICANN transfer> # IANA which is simply front group for the # UN. # TrumpPence16	NetworksManager	17	72	1472877299	771929460224430080	https://twitter.com/NetworksManager/status/771929460224430080		# # # # #	
	No wonder you work against the American people you're dumb as a box of rocks.	NetworksManager	2	1	1472876351	771925481927180288	https://twitter.com/NetworksManager/status/771925481927180288			
	oh wow you're really out to lunch	NetworksManager	0	1	1472876314	771925328105185281	https://twitter.com/NetworksManager/status/771925328105185281			
	Radicals like ISIS will never go away if we don't address the hate folks suicide moslems target Christians # Pakistan http://www.dailymail.co.uk/news/article-3770254/Pakistan-army-kills-four-suicide-bombers-Christian-colony.html …	NetworksManager	11	19	1472873221	771912355437539328	https://twitter.com/NetworksManager/status/771912355437539328		#	
	# IANA= # UN proxy @ Just_this_time @ gma1924https://twitter.com/just_this_time/status/771866906181591040 …	NetworksManager	2	1	1472862768	771868512491016192	https://twitter.com/NetworksManager/status/771868512491016192		# #	@ @
	gotcha. So you're just a globalist. Alright.	NetworksManager	1	0	1472861251	771862147517284352	https://twitter.com/NetworksManager/status/771862147517284352			
	"idk am I wrong? ""Lin"" isn't an Asian name? Do tell"	NetworksManager	0	0	1472861178	771861843979665408	https://twitter.com/NetworksManager/status/771861843979665408			
	truth hurts?	NetworksManager	0	0	1472860838	771860415441756160	https://twitter.com/NetworksManager/status/771860415441756160			
	Well sure there's plenty of food they awaiting orders. Not looking for job but they are looking for girls. @ Nindsterhttps://twitter.com/networksmanager/status/741233689993056256 … – bei The White House	NetworksManager	12	23	1472860409	771858616374689792	https://twitter.com/NetworksManager/status/771858616374689792			@
	Funny @ ArtKen who else to you call a coward? Do they expose the truth like me?Do they work for their people like me?https://twitter.com/ArtKen/status/771854535870472192 …	NetworksManager	2	1	1472859960	771856732461072384	https://twitter.com/NetworksManager/status/771856732461072384			@
	Notice # Obama try give away # ICANN 2 globalist # UN= # IANA even though we+Congress don't want him to if allowed this only beginning we screwed	NetworksManager	23	38	1472859672	771855524820385792	https://twitter.com/NetworksManager/status/771855524820385792		# # # #	
	Yes Lin, you are case & point of our failed immigration policy u migrate then don't support our laws @ Just_this_timehttps://twitter.com/Just_this_time/status/771838141330182144 …	NetworksManager	1	1	1472858917	771852361006329856	https://twitter.com/NetworksManager/status/771852361006329856			@
	Take a LOOK at Calais folks heating up the moslems will be entering Britain n time for the next vote. # BanIslam # MAGApic.twitter.com/zHARzsYaHh	NetworksManager	228	460	1472857412	771846045089275905	https://twitter.com/NetworksManager/status/771846045089275905		# #	
	There no 2nd amendment in # IANA it's respecting it's multi-member laws. They will decide what is banned. @ Jacxxpickhttps://twitter.com/NetworksManager/status/771843008312537089 …	NetworksManager	1	3	1472856800	771843481711116290	https://twitter.com/NetworksManager/status/771843481711116290		#	@
	IANA takes orders from many countries & none have ANY free speech. IANA has ultimate censorship decision. @ Jacxxpickhttps://twitter.com/NetworksManager/status/771842234991902720 …	NetworksManager	6	10	1472856687	771843008312537089	https://twitter.com/NetworksManager/status/771843008312537089			@
	# ICANN+world issuer domain names & internet numbers,we own it but # Obama giving it away to a new # UN/globalist group called # IANA @ Jacxxpick	NetworksManager	8	5	1472856503	771842234991902720	https://twitter.com/NetworksManager/status/771842234991902720		# # # #	@
	STOP lying 2 everybody @ Just_this_time handing over # ICANN 2 globalist who decide what=censored will END FREE SPEECHhttps://twitter.com/Just_this_time/status/771838584005337088 …	NetworksManager	2	3	1472856052	771840344409399296	https://twitter.com/NetworksManager/status/771840344409399296		#	@
	We not isolationist but won't cede> # Obama our 1st Amendment right our ancestors fought & died for. # ICANN # IANA @ Just_this_time @ GlobalBoost	NetworksManager	2	6	1472854899	771835508313948160	https://twitter.com/NetworksManager/status/771835508313948160		# # #	@ @
	28 days left to stop biggest theft of the American people likely n our history STOP # obama # ICANN giveaway to # IANA!https://twitter.com/NetworksManager/status/771300827185180672 …	NetworksManager	12	26	1472854620	771834338661036032	https://twitter.com/NetworksManager/status/771834338661036032		# # #	
	Yeah @ GlobalBoost=evil don't change the subject stop lying to everyone a/b # ICANN= # IANA= # Censorship @ Just_this_timehttps://twitter.com/Just_this_time/status/771831957042835456 …	NetworksManager	4	4	1472854246	771832769437700096	https://twitter.com/NetworksManager/status/771832769437700096		# # #	@ @
	# IANA will taking orders from many countries abolishing America's # 1a @ Just_this_time @freddiegrove13 @ IBelieveNGoodhttps://twitter.com/Just_this_time/status/771830862245617664 …	NetworksManager	1	1	1472853999	771831730353344521	https://twitter.com/NetworksManager/status/771831730353344521		# #	@ @freddiegrove13 @
	Any country involved with # IANA & The # UN will control America's FREE SPEECH folks WAKE UP @ Just_this_time @ trbrad62https://twitter.com/NetworksManager/status/771829644257558528 …	NetworksManager	4	9	1472853860	771831149404516352	https://twitter.com/NetworksManager/status/771831149404516352		# #	@ @
	I feel gross just knowing that he's nearby. # TrumpInDetroit Time for another shower. brbpic.twitter.com/yQrgpu8NPc	haydentiff	107	64	1472923702	772124085702787073	https://twitter.com/haydentiff/status/772124085702787073		#	
	You see whatever you want to see, Jesper. I can't help you. @BjorkmanJesper	haydentiff	0	2	1472922358	772118450722443264	https://twitter.com/haydentiff/status/772118450722443264			@BjorkmanJesper
	"How much money do you think @ realDonaldTrump is ""donating"" to Great Faith Ministries? # Detroit # NeverTrumpOrHillarypic.twitter.com/63jDbijduN"	haydentiff	25	13	1472917435	772097803451531264	https://twitter.com/haydentiff/status/772097803451531264		# #	@
	Thank you! @ DarrylMeadowsLP	haydentiff	1	2	1472915146	772088202693926912	https://twitter.com/haydentiff/status/772088202693926912			@
	Agreed.pic.twitter.com/7tKGTBm4XY	haydentiff	15	11	1472913738	772082293468983296	https://twitter.com/haydentiff/status/772082293468983296			
	Good morning, Jay Jay! Any plans this weekend? @ VeryVeriViral	haydentiff	2	2	1472908736	772061315166834689	https://twitter.com/haydentiff/status/772061315166834689			@
	Please show me where I said anything even remotely resembling that. Thanks. @BjorkmanJesper	haydentiff	2	2	1472908631	772060876769792000	https://twitter.com/haydentiff/status/772060876769792000			@BjorkmanJesper
	@ pmarreck @BjorkmanJesper	haydentiff	2	2	1472877164	771928894400237570	https://twitter.com/haydentiff/status/771928894400237570			@ @BjorkmanJesper
	What are you trying to say? The 1920's was when racial boundaries were set and enforced by whites. @bjorkmanJesper @ realDonaldTrump	haydentiff	3	4	1472875683	771922680455041025	https://twitter.com/haydentiff/status/771922680455041025			@bjorkmanJesper @
