	Yes. Reach out to v@buterin.com anytime.	VitalikButerin	9	1	1490867975	847387823388868608	https://twitter.com/VitalikButerin/status/847387823388868608			@buterin
	Wow - more widespread than I thought. People, listen, Trump is no more/less fucked up than most presidents and the Cold War ended in 1991.pic.twitter.com/OJpQsPQ45q	maxkeiser	46	18	1490837176	847258644836040706	https://twitter.com/maxkeiser/status/847258644836040706			
	Brexit + 2 yrs.pic.twitter.com/vCAPMAR7gH	maxkeiser	116	61	1490836368	847255253145706496	https://twitter.com/maxkeiser/status/847255253145706496			
	What! Rational thought!https://twitter.com/maxkeiser/status/847134711612948481 …	maxkeiser	15	4	1490836126	847254237419495425	https://twitter.com/maxkeiser/status/847254237419495425			
	Wow - there's hope for rational thought in America!	maxkeiser	2	0	1490836083	847254057852968962	https://twitter.com/maxkeiser/status/847254057852968962			
	Free content providers = 'network effect' - now company will sell eyeballs to highest Hollywood bidder, so need to demonetize competition. https://twitter.com/markdice/status/847208479840284672 …	maxkeiser	19	12	1490825887	847211294289776641	https://twitter.com/maxkeiser/status/847211294289776641			
	As reality hits harder, tax on booze will drop faster. https://twitter.com/coppetainpu/status/847201129310171136 …	maxkeiser	10	7	1490825678	847210418997248000	https://twitter.com/maxkeiser/status/847210418997248000			
	Quand Larry Summers se désole de l'incompétence digitale du nouveau Secrétaire au Trésor américainhttps://www.washingtonpost.com/news/wonk/wp/2017/03/27/larry-summers-mnuchins-take-on-artificial-intelligence-is-not-defensible/ …	babgi	15	11	1490909289	847561105513820160	https://twitter.com/babgi/status/847561105513820160			
	parce que là le besoin en abstraction est incomparablement plus élevé à celui en computer Sciences	babgi	1	0	1490888235	847472801082519552	https://twitter.com/babgi/status/847472801082519552			
	je n'ai jamais prétendu le contraire, mais soutenu que les ingé français arrivaient avec un déficit en IT	babgi	0	0	1490884783	847458321506451456	https://twitter.com/babgi/status/847458321506451456			
	et computer sciences en général	babgi	0	0	1490883434	847452663583092736	https://twitter.com/babgi/status/847452663583092736			
	Les plus grandes inventions de tous les temps, par vote populaire https://www.raconteur.net/wp-content/uploads/2015/03/Greatest-Inventions-of-all-time.jpg …pic.twitter.com/dcPuvCQChm	babgi	117	135	1490883385	847452459039576069	https://twitter.com/babgi/status/847452459039576069			
	A propos des écoles d'ingénieurs françaises et de leur expertise en computer engineering @ plantex @ scicopatospic.twitter.com/PPjcIMoVwh	babgi	13	13	1490883115	847451323255607296	https://twitter.com/babgi/status/847451323255607296			@ @
	non mais @ babgi a eu l'occasion de comparer le niveau d'expertise en programmation au niveau écoles EU.	babgi	0	0	1490881894	847446203419590656	https://twitter.com/babgi/status/847446203419590656			@
	2017 Banking # Trends & # Predictions [92-pages, 38 charts] http://www.digitalbankingreport.com/dbr/dbr245/ # fintech # AI # IoT # banking # trends Sponsored by @ konypic.twitter.com/YSCRNAOb4R	JimMarous	9	6	1490908260	847556792292753410	https://twitter.com/JimMarous/status/847556792292753410		# # # # # # #	@
	' # BigData' and ' # DataAnalytics' Huge in Google Search Importance http://bit.ly/2nKYC5t # AI # machinelearning @ FinancialBrand # analyticspic.twitter.com/4RHOMehbqv	JimMarous	6	3	1490904601	847541445833748480	https://twitter.com/JimMarous/status/847541445833748480		# # # # #	@
	Being a 'Digital Bank' Goes Beyond a Pretty App http://bit.ly/2o4vr0e # digital # banking # fintech # API @ FinancialBrandpic.twitter.com/UqLL6zhypD	JimMarous	11	5	1490902381	847532131932917760	https://twitter.com/JimMarous/status/847532131932917760		# # # #	@
	New Research: # Millennials Like # MobileBanking ... A Lot! http://bit.ly/2niCu44 # banking # mobile # fintech @ Fiserv @ FinancialBrandpic.twitter.com/5A1VAxSI2p	JimMarous	2	3	1490900880	847525838627020800	https://twitter.com/JimMarous/status/847525838627020800		# # # # #	@ @
	Thanks for the catch.http://bit.ly/2nf3Ms7	JimMarous	1	1	1490899610	847520509654941696	https://twitter.com/JimMarous/status/847520509654941696			
	The Most Important # BigData Trends in # Banking and # Finance. http://bit.ly/2nf3Ms7 # fintech # AI # MachineLearning # tech @ ngdata_compic.twitter.com/sBU0rwaWk3	JimMarous	12	21	1490899592	847520435252211713	https://twitter.com/JimMarous/status/847520435252211713		# # # # # # #	@
	Bots Ecosystem http://bit.ly/2nQ0Q5T # fintech # bigdata # AI # NLP # machinelearning # voicefirst # analytics @ BrianRoemmelepic.twitter.com/fqCwW7uaqZ	JimMarous	15	15	1490899409	847519666478178306	https://twitter.com/JimMarous/status/847519666478178306		# # # # # # #	@
	4 Scenarios for the Future of Banking http://bit.ly/2nJh6X3 # fintech # banking # AI # startup @ ahatami @ banknxtpic.twitter.com/Ek3ZTZEUAe	JimMarous	34	40	1490897220	847510487445102592	https://twitter.com/JimMarous/status/847510487445102592		# # # #	@ @
	Why # Banking Uses # AI Solutions http://bit.ly/2jVLU4p # ArtificialIntelligence # machinelearning # deeplearning # tech @ FinancialBrandpic.twitter.com/KZ35h0uZwR	JimMarous	7	11	1490893563	847495146270810114	https://twitter.com/JimMarous/status/847495146270810114		# # # # # #	@
	The Power of # Personalization in # Banking [64-pages, 60 charts] http://www.digitalbankingreport.com/dbr/dbr242/ # fintech # MachineLearning # analytics @ personeticspic.twitter.com/81dcjrn0jT	JimMarous	7	9	1490891401	847486079372468224	https://twitter.com/JimMarous/status/847486079372468224		# # # # #	@
	Why # ArtificialIntelligence Needs # EmotionalIntelligence http://bit.ly/2n7X6bZ # AI # EI # CX # machinelearning @ stratandbiz @ andi_staubpic.twitter.com/D6rdJzQtQU	JimMarous	8	8	1490889781	847479283031330816	https://twitter.com/JimMarous/status/847479283031330816		# # # # # #	@ @
	The Future of Experience-Driven Banking http://bit.ly/2nDjOwD # fintech # banking # API # CX # UX # openbanking @ Temenos @ FinancialBrandpic.twitter.com/c602ap2MNq	JimMarous	7	8	1490886121	847463934697250816	https://twitter.com/JimMarous/status/847463934697250816		# # # # # #	@ @
	Banking is Not Listening to the Digital Consumer http://www.digitalbankingreport.com/dbr/dbr246/ # banking # CX # UX # Digital @ FinancialBrand @ deluxe4fspic.twitter.com/UwSRclVME0	JimMarous	1	2	1490884204	847455890928218112	https://twitter.com/JimMarous/status/847455890928218112		# # # #	@ @
	Hello Banking, We Have a Problem. Your priorities are so yesterday. @ BIIntelligence # banking # fintech # trends # AI # Analytics # futurepic.twitter.com/8wSQpjMk9H	JimMarous	17	29	1490883986	847454978406887424	https://twitter.com/JimMarous/status/847454978406887424		# # # # # #	@
	Use of # AI in # Banking is Set to Explode http://bit.ly/2jVLU4p # ArtificialIntelligence # machinelearning @ FinancialBrand @ FintechBotpic.twitter.com/LW1dRHRMXf	JimMarous	6	6	1490882401	847448330707755008	https://twitter.com/JimMarous/status/847448330707755008		# # # #	@ @
	# ArtificialIntelligence To Be Primary Way # Banks Interact With Customers http://bit.ly/2owKyfh # fintech # AI @ SpirosMargarispic.twitter.com/kduhxOR4Ij	JimMarous	10	7	1490878740	847432976753246209	https://twitter.com/JimMarous/status/847432976753246209		# # # #	@
	What Motivates Millennials to Switch Banks? http://bit.ly/2nyzzmp # banking # fintech # Switch @ Kasasa @ FinancialBrandpic.twitter.com/bythkGbYDT	JimMarous	5	10	1490877211	847426563574423554	https://twitter.com/JimMarous/status/847426563574423554		# # #	@ @
	Why the bank of the future will look like an Apple storehttp://on.mktw.net/2mMrxJL	JimMarous	0	1	1490876398	847423150530805761	https://twitter.com/JimMarous/status/847423150530805761			
	. @ WeChatApp Expands into Europe in Next Step Towards Global Domination http://bloom.bg/2nmQ6sD # fintech # payments # bankingpic.twitter.com/YLKrIKO2Mh	JimMarous	4	5	1490875764	847420493678264326	https://twitter.com/JimMarous/status/847420493678264326		# # #	@
	Banking Unprepared for Data-Driven Future http://bit.ly/2kID5Lu # banking # martech # bigdata # AI # machinelearning @ FinancialBrandpic.twitter.com/PkyLtXKZte	JimMarous	3	12	1490874960	847417122871431171	https://twitter.com/JimMarous/status/847417122871431171		# # # # #	@
	5 Steps to Prepare Your Bank for AI http://bit.ly/2mv0fE4 # fintech # banking # AI # artificialintelligence @ abethebot @ FinancialBrandpic.twitter.com/XegSr3IYHf	JimMarous	6	3	1490873220	847409823347953665	https://twitter.com/JimMarous/status/847409823347953665		# # # #	@ @
	# AI + # Fintech = # Digital Transformation http://bit.ly/2nA7w80 # ArtificialIntelligence # MachineLearning # banking @ CBinsightspic.twitter.com/N5TdJnWsZA	JimMarous	9	12	1490871090	847400889786671104	https://twitter.com/JimMarous/status/847400889786671104		# # # # # #	@
	Five Things You Need To Know About # FinTech http://youtu.be/kG6Xs1M2mkw  via @ wefhttps://youtu.be/kG6Xs1M2mkw	JimMarous	3	4	1490869801	847395484373303296	https://twitter.com/JimMarous/status/847395484373303296		#	@
	The # VC Funnel: <50% Get 2nd Round, <1% Become # unicorns http://bit.ly/2mQROGx # fintech # VentureCapital @ CBinsights @ DeepLearn007pic.twitter.com/H8KEIvGnUN	JimMarous	2	3	1490867280	847384909756973056	https://twitter.com/JimMarous/status/847384909756973056		# # # #	@ @
	The Quest for Video Teller ROI http://bit.ly/2o76rG7  Newest from @ rshevlin via @ FinancialBrand # banking # digital # automation # CXpic.twitter.com/cAZeFKaWYc	JimMarous	4	4	1490864703	847374099705974784	https://twitter.com/JimMarous/status/847374099705974784		# # # #	@ @
	By 2030, students will be learning from robot teachers pic.twitter.com/EJmq4CWu2e @ wef # AI # MachineLearning # robotics # edtech	JimMarous	24	27	1490862792	847366084390932480	https://twitter.com/JimMarous/status/847366084390932480		# # # #	@
	Great Resource: # Fintech, # CX, # BigData, # Analytics, # Payments and more Google Search Term Trends http://bit.ly/2nKYC5t @ FinancialBrandpic.twitter.com/VpVlpoy3oo	JimMarous	15	12	1490862660	847365530927341568	https://twitter.com/JimMarous/status/847365530927341568		# # # # #	@
	. @ Google's # ArtificialIntelligence Translation Tool Invented Its Own Language pic.twitter.com/NmIT43Ea1N @ wef # AI # MachineLearning	JimMarous	12	4	1490861822	847362017375670276	https://twitter.com/JimMarous/status/847362017375670276		# # #	@ @
	# MachineLearning, # AI and the Future of Data Analytics in # Banking http://bit.ly/2me9nMN # Analytics # Bigdata Via @ FinancialBrandpic.twitter.com/u8NmcSuIhW	JimMarous	1	5	1490860620	847356976535416832	https://twitter.com/JimMarous/status/847356976535416832		# # # # #	@
	China may soon overtake the US in patent filing. Read more: http://wef.ch/2nL0JZG  pic.twitter.com/3AOwFS7Uis # technology # innovation @ wef	JimMarous	3	13	1490859504	847352294874112002	https://twitter.com/JimMarous/status/847352294874112002		# #	@
	The Fourth Industrial Revolution https://youtu.be/khjY5LWF3tg @ wef # tech # AI # IOT # bigdata # MachineLearning # ArtificialIntelligence	JimMarous	9	11	1490858478	847347988573769729	https://twitter.com/JimMarous/status/847347988573769729		# # # # # #	@
bitcoin 	The future of shopping. # payments # AI # retail # cpg # marketing # iot # fintech # bitcoin # blockchain # amazonpic.twitter.com/LOlabE2m50	JimMarous	121	111	1490857583	847344237129551872	https://twitter.com/JimMarous/status/847344237129551872		# # # # # # # # # #	
bitcoin 	The End of Banking as We Know It. http://bit.ly/2oB0M7i # banking # fintech # AI # MachineLearning # ArtificialIntelligence @ bitcoinagilepic.twitter.com/iRgS8ailGQ	JimMarous	5	6	1490857222	847342724160208896	https://twitter.com/JimMarous/status/847342724160208896		# # # # #	@
	Will # FinTech disrupt # Banking? http://habiletechnologies.com/blog/will-fintech-disrupts-banks/ … via @ HabileTech	JimMarous	3	4	1490856729	847340656418709504	https://twitter.com/JimMarous/status/847340656418709504		# #	@
	Building an Omnichannel Strategy in Banking http://infy.com/2nCptTy # banking # fintech # digital # AI # IoT # omnichannel @ Finaclepic.twitter.com/SMkfqDyQ9c	JimMarous	12	12	1490843041	847283241924960258	https://twitter.com/JimMarous/status/847283241924960258		# # # # # #	@
	# MachineLearning Will Disrupt # BigData Analytics in 2017 http://bit.ly/2nrxIBx # AI # ArtificialIntelligence # techpic.twitter.com/khoq7WbEhI	JimMarous	14	16	1490839323	847267647175737344	https://twitter.com/JimMarous/status/847267647175737344		# # # # #	
	How # Blockchain Will Transform Financial Services # fintech # Insurtech # regtech # payments # CyberSecurity # Identity @ dgwbirchpic.twitter.com/62SXq8roC5	JimMarous	87	94	1490836200	847254550931046406	https://twitter.com/JimMarous/status/847254550931046406		# # # # # # #	@
	Great Timeline: 50 Years of Fintech: From # MachineLearning # fintech # biometrics # cloud # blockchain # AI …http://vitw.it/link/ke20y	JimMarous	2	2	1490834373	847246888612974592	https://twitter.com/JimMarous/status/847246888612974592		# # # # # #	
	# AI + # Fintech = # Digital Transformation http://bit.ly/2nA7w80 # ArtificialIntelligence # MachineLearning # banking @ CBinsightspic.twitter.com/ZFDQTX7qRG	JimMarous	12	10	1490832061	847237187540205568	https://twitter.com/JimMarous/status/847237187540205568		# # # # # #	@
	# Mobile # payments via NodeXL http://bit.ly/2ng34vo @ jimmarous @ kingofpayments @ bourseettrading @ business @ pymnts @ fintechchinaw @ macropru2pic.twitter.com/743KDzEPXV	JimMarous	5	3	1490829660	847227119809806336	https://twitter.com/JimMarous/status/847227119809806336		# #	@ @ @ @ @ @ @
	The # VC Funnel: <50% Get 2nd Round, <1% Become # unicorns http://bit.ly/2mQROGx # fintech # VentureCapital @ CBinsights @ DeepLearn007pic.twitter.com/UZluRBPrSA	JimMarous	39	35	1490829299	847225605711998976	https://twitter.com/JimMarous/status/847225605711998976		# # # #	@ @
	Top 10 Retail Banking Trends and Predictions for 2017 http://bit.ly/2gOxLRd  via @ FinancialBrand # fintech # bigdata # AI # IoTpic.twitter.com/nn4Lam5i09	JimMarous	4	2	1490825100	847207994026741760	https://twitter.com/JimMarous/status/847207994026741760		# # # #	@
	The Time to Develop an Open Banking Strategy is Now http://bit.ly/2npb0IB # banking # fintech # APIs # bigdata @ PwC @PwC_US_FinSrvcs @pic.twitter.com/ekGLCXsiUZ	JimMarous	14	7	1490824921	847207240020971520	https://twitter.com/JimMarous/status/847207240020971520		# # # #	@ @PwC_US_FinSrvcs @pic
	I already left and so did many others, but our hearts can never leave... # crythebelovedcountry	VinnyLingham	7	1	1490911123	847568797527670784	https://twitter.com/VinnyLingham/status/847568797527670784		#	
	Then I won't need to even crowdfund it!	VinnyLingham	1	0	1490910798	847567435532300288	https://twitter.com/VinnyLingham/status/847567435532300288			
	I'm launching a crowd funded campaign to buy South Africa back from whomever it was sold to... # CabinetReshuffle # EarlyAprilFools	VinnyLingham	167	100	1490910679	847566938213625856	https://twitter.com/VinnyLingham/status/847566938213625856		# #	
	We need exchange controls due to political instability.	VinnyLingham	3	0	1490909388	847561523363008512	https://twitter.com/VinnyLingham/status/847561523363008512			
	Can someone please explain to me how someone is fired for doing a great job? Rand has recovered from R18/$ to nearly R12! # CabinetReshuffle	VinnyLingham	298	360	1490909347	847561350595391490	https://twitter.com/VinnyLingham/status/847561350595391490		#	
	# cantwaithttps://twitter.com/people/status/847503380771733504 …	VinnyLingham	27	3	1490895588	847503642898894848	https://twitter.com/VinnyLingham/status/847503642898894848		#	
	Speaking at # StocktoberfestEast with @ NTmoney in a few minutes. Problem is that @ fredwilson is a tough act to follow...pic.twitter.com/6MCnBGJC8C	VinnyLingham	49	8	1490894411	847498704839778305	https://twitter.com/VinnyLingham/status/847498704839778305		#	@ @
	I'll take my chances ;)	VinnyLingham	17	1	1490841372	847276244324425728	https://twitter.com/VinnyLingham/status/847276244324425728			
	Wow! Twitter just did a softfork today and increased the char limit by not counting reply to names against the limit. It's just like SegWit!	SatoshiLite	407	137	1490908454	847557605853548544	https://twitter.com/SatoshiLite/status/847557605853548544			
	This is an old pic, but fits today!pic.twitter.com/8pYtuB1psw	SatoshiLite	1808	531	1490873348	847410360969592834	https://twitter.com/SatoshiLite/status/847410360969592834			
	LTC $4 Peg Technology is flawed. Sorry!https://twitter.com/WhalePanda/status/847331061348446208 …	SatoshiLite	129	48	1490855889	847337133094256642	https://twitter.com/SatoshiLite/status/847337133094256642			
	I feel good about it. :)	SatoshiLite	5	1	1490847621	847302453510799361	https://twitter.com/SatoshiLite/status/847302453510799361			
	Maybe we are the same person!	SatoshiLite	8	0	1490837174	847258636749373441	https://twitter.com/SatoshiLite/status/847258636749373441			
litecoin 	Excited to hear about Omni Lite! Tether and Litecoin sitting under a tree...https://twitter.com/Tether_to/status/847252592430166016 …	SatoshiLite	50	21	1490836360	847255219184451584	https://twitter.com/SatoshiLite/status/847255219184451584			
	yes, and sidechains have different security characteristics. So depending on what you are looking for.	SatoshiLite	0	0	1490829854	847227934498627585	https://twitter.com/SatoshiLite/status/847227934498627585			
	wallets and users interests are aligned. There's no reason for wallets to collude against users. This is not true for miners.	SatoshiLite	0	0	1490829711	847227334704766976	https://twitter.com/SatoshiLite/status/847227334704766976			
	exchanges & wallets represents their users. Of course, they won't do something their users won't want.	SatoshiLite	0	0	1490829307	847225636787703808	https://twitter.com/SatoshiLite/status/847225636787703808			
	colored coins definitely don't make sense on a network that is used to move $millions with full decentralization & security.	SatoshiLite	1	0	1490828870	847223804254277632	https://twitter.com/SatoshiLite/status/847223804254277632			
litecoin 	True, but Litecoin can aim for a different decentralization/security/throughput/fees mix, where colored coins make more sense.	SatoshiLite	3	0	1490828773	847223396911857670	https://twitter.com/SatoshiLite/status/847223396911857670			
bitcoin litecoin 	Congratulations to the Tether team! Though, w/ Bitcoin's congestion & high fees, Tether & Omni platform seems like perfect fit for Litecoin!https://twitter.com/krakenfx/status/847117526836244480 …	SatoshiLite	55	20	1490827129	847216502239514625	https://twitter.com/SatoshiLite/status/847216502239514625			
bitcoin 	I made some slides explaining why I think Core is on the wrong path for Bitcoin's future: http://docdro.id/NG1sbVq pic.twitter.com/Raunq32xGP	rogerkver	198	89	1490881238	847443451268415489	https://twitter.com/rogerkver/status/847443451268415489			
	Leveraging Social Reviews to Improve Customer Experience https://thefinancialbrand.com/64557/social-media-reviews-customer-experience/ … via @ FinancialBrand # fintech # digitalbanking # bankingpic.twitter.com/WSh2hIppk2	BrettKing	3	0	1490907907	847555311552667650	https://twitter.com/BrettKing/status/847555311552667650		# # #	@
	:)	BrettKing	0	0	1490902907	847534338048761856	https://twitter.com/BrettKing/status/847534338048761856			
	Join @ brettking on @ Breakingbanks1 today at 3pm ET for a special show on 'Banks And # Fintechs: Tips For Partnership' https://www.voiceamerica.com/show/2193/breaking-banks …pic.twitter.com/vrDBIcdNaE	BrettKing	5	3	1490899023	847518048160550914	https://twitter.com/BrettKing/status/847518048160550914		#	@ @
	Canadian government, businesses back $150 mln # ArtificialIntelligence institute @ VectorInst http://www.cnbc.com/2017/03/28/reuters-america-canadian-government-businesses-back-150-mln-artificial-intelligence-institute.html … # NeuralNetworks # fintechpic.twitter.com/vTXAs1orea	BrettKing	8	6	1490891656	847487147741298688	https://twitter.com/BrettKing/status/847487147741298688		# # #	@
	Join us LIVE at 3pm for 'Banks And # Fintechs: Tips for Partnership' with @ cxofficer, @ avokatech + @ RandyPennington! https://www.voiceamerica.com/show/2193/breaking-banks …pic.twitter.com/HNxJ2ylu2L	BrettKing	3	2	1490883859	847454444371431424	https://twitter.com/BrettKing/status/847454444371431424		#	@ @ @
	A Quick 101 on 'How Does # ArtificialIntelligence Apply to # Fintech?' http://www.readitquik.com/articles/fintech/how-does-artificial-intelligence-apply-to-fintech/ … # business # ai # banking # bankingtechnologypic.twitter.com/pmLlrmld9x	BrettKing	14	13	1490879033	847434206137503744	https://twitter.com/BrettKing/status/847434206137503744		# # # # # #	
	Autonomous # robots by @ Postmates are bringing delivery food to customers in the DC area http://www.fox5ny.com/news/244785796-story … # Augmented # Automation # botpic.twitter.com/xiNISmHAC2	BrettKing	2	1	1490842912	847282700834660353	https://twitter.com/BrettKing/status/847282700834660353		# # # #	@
	Analysis: # banking innovation in the US - feat. @ brettking + @ getMoven! (pre-yesterday's TD announcement) http://www.bankingtech.com/751512/analysis-banking-innovation-in-the-us/ … # fintechpic.twitter.com/bFmVl8f2FS	BrettKing	10	11	1490825578	847209997989752832	https://twitter.com/BrettKing/status/847209997989752832		# #	@ @
	I don't think directional is possible. And easier to shield a drone than to shield the emitting aircraft.	naval	0	0	1490907518	847553680735731712	https://twitter.com/naval/status/847553680735731712			
	Maybe impossible to tell and maybe doesn't matter. Biological in this context is hard to define anyway.	naval	10	0	1490907445	847553372999696385	https://twitter.com/naval/status/847553372999696385			
	But you realize how futile (and beautiful) it all is.	naval	6	0	1490907366	847553039602810880	https://twitter.com/naval/status/847553039602810880			
	Enlightenment (awakening from the dream) maps very closely to what a character in a video game who realized that it's in a game would do.	naval	13	0	1490902344	847531975694876672	https://twitter.com/naval/status/847531975694876672			
	Linked at bottom of this post:https://www.farnamstreetblog.com/2017/02/naval-ravikant-reading-decision-making/ …	naval	4	1	1490893333	847494182100795392	https://twitter.com/naval/status/847494182100795392			
	Yes. Much harder, so much more expensive.	naval	8	0	1490859055	847350411803500545	https://twitter.com/naval/status/847350411803500545			
	Warfare is about to completely change as drones go mainstream. Civilian airliners and similar soft targets may become undefendable.https://twitter.com/jenanmoussa/status/847164722483007489 …	naval	281	166	1490858430	847347789176623104	https://twitter.com/naval/status/847347789176623104			
	"13"" Pro is holding up well. The 12"" is rotting in a corner.https://twitter.com/naval/status/802749272634494976 …"	naval	8	0	1490856816	847341017904726023	https://twitter.com/naval/status/847341017904726023			
	Although maybe L5 is possible on pre-approved routes and L4 on routes with variability.	naval	3	0	1490855597	847335906444890112	https://twitter.com/naval/status/847335906444890112			
	I suspect that true L5 may not be possible without General A.I. If that's true, huge implications for Uber / Lyft.	naval	14	0	1490855556	847335734071775232	https://twitter.com/naval/status/847335734071775232			
	What is your current best estimate on L5? Do you see anyone able to compete with Tesla on electric in the next decade? Thx.	naval	13	0	1490855160	847334075031355392	https://twitter.com/naval/status/847334075031355392			
bitcoin 	Bitcoin Q&A: The Lightning Networkhttps://youtu.be/vPnO9ExJ50A	aantonop	113	55	1490895366	847502710677164032	https://twitter.com/aantonop/status/847502710677164032			
bitcoin 	“Announcing the Bitcoin Core Config Generator” by @ lopphttps://medium.com/@lopp/announcing-the-bitcoin-core-config-generator-4ce74a4af7fc …	aantonop	154	82	1490894616	847499562117771265	https://twitter.com/aantonop/status/847499562117771265			@ @lopp
	Glad to be in the Bay Area for a bit. I missed it. If you're around and I neglected to make time, ping me.	aantonop	73	11	1490850679	847315280514605057	https://twitter.com/aantonop/status/847315280514605057			
	A tweet being a self-contained object within the status body was a beautiful, simple solution that didn't need changing.	ummjackson	1	0	1490907205	847552367935533056	https://twitter.com/ummjackson/status/847552367935533056			
	Right, but Twitter could still have included the mention(s) in the tweet body and simply not count them... instead it adds weird meta data	ummjackson	1	0	1490907149	847552130072289281	https://twitter.com/ummjackson/status/847552130072289281			
	Yikes. This didn't need changing... wonder how long til Tweetbot updates?	ummjackson	0	0	1490906803	847550678734036992	https://twitter.com/ummjackson/status/847550678734036992			
	*Screencap?	ummjackson	0	0	1490906620	847549911889436676	https://twitter.com/ummjackson/status/847549911889436676			
	Woah, it renders the username in the tweet body? Screencap. # confusing	ummjackson	0	0	1490906607	847549856306544640	https://twitter.com/ummjackson/status/847549856306544640		#	
	this is the future liberals want.https://twitter.com/natalierachel/status/847517073173594113 …	ummjackson	4	2	1490906576	847549728501841920	https://twitter.com/ummjackson/status/847549728501841920			
	Yeah just checked the price of the Pro Controller and yikes.	ummjackson	0	0	1490906318	847548647130636288	https://twitter.com/ummjackson/status/847548647130636288			
	Twitter made me drop the handle :P	ummjackson	0	0	1490906235	847548299376680960	https://twitter.com/ummjackson/status/847548299376680960			
	Good thinking... is there an official one? Also, accessory recommendations? Tempted by that Pro Controller	ummjackson	0	0	1490903670	847537540097650688	https://twitter.com/ummjackson/status/847537540097650688			
	the rage in this article is giving me life.	ummjackson	1	0	1490903474	847536717225639936	https://twitter.com/ummjackson/status/847536717225639936			
	excellent investigative work! worth a read. (sidenote: IG should fix that recommended user thing, yikes)https://twitter.com/ashleyfeinberg/status/847531909592879107 …	ummjackson	0	0	1490903249	847535775294013440	https://twitter.com/ummjackson/status/847535775294013440			
	. @ mattmay any issues with the Switch screen scratching? is a protector warranted?	ummjackson	0	0	1490902770	847533765299535872	https://twitter.com/ummjackson/status/847533765299535872			@
	OK PURCHASED THE SWITCH, LET'S DO THIS.	ummjackson	1	0	1490902101	847530958647476224	https://twitter.com/ummjackson/status/847530958647476224			
	Switch in stock for Prime members only:https://www.amazon.com/gp/product/B01LTHP2ZK/ref=oh_aui_detailpage_o01_s00?ie=UTF8&th=1 …	ummjackson	0	0	1490902017	847530607412338688	https://twitter.com/ummjackson/status/847530607412338688			
	Thanks @ mattmay for the rec!	ummjackson	0	0	1490901922	847530209091895296	https://twitter.com/ummjackson/status/847530209091895296			@
	Wooo! Thanks to @ NowInStock I just snagged a Nintendo Switch on @ amazon	ummjackson	4	0	1490901911	847530160597344256	https://twitter.com/ummjackson/status/847530160597344256			@ @
	Just wasn't using the thing enough, it was gathering dust. Hence my leaning towards the Switch.	ummjackson	1	0	1490901206	847527205995372544	https://twitter.com/ummjackson/status/847527205995372544			
	Sold entire rig, incl. my $800 Dell monitor and mechanical keyboard... kinda regretting the decision.	ummjackson	1	0	1490901181	847527099569119232	https://twitter.com/ummjackson/status/847527099569119232			
